amount_zscore,is_recurrent_client,hour,is_outside_iqr,status_completada,status_fallida,status_pendiente
-0.8404851954563427,1,8,0,True,False,False
0.0652260729630756,0,11,0,True,False,False
0.3149956044695374,1,13,0,True,False,False
-0.30191140101474323,0,14,0,True,False,False
-0.36890344008828224,1,16,0,True,False,False
-0.29215271815757426,1,18,0,True,False,False
-0.39264077676788256,0,18,0,True,False,False
4.056527361545212,1,9,1,True,False,False
-0.8188578442593736,1,9,0,True,False,False
-1.3611241132955776,0,10,1,True,False,False
0.21740877589784693,0,11,0,True,False,False
0.04465371450742193,1,16,0,True,False,False
-0.191664659547266,1,17,0,True,False,False
0.7172115870960992,1,19,0,True,False,False
-0.0745604652612376,1,20,0,True,False,False
-0.4250818035633363,1,8,0,True,False,False
-1.332903057465386,1,9,1,True,False,False
0.3519203504155822,1,10,0,True,False,False
-0.3612547427137442,1,13,0,True,False,False
0.28440081497138553,1,15,0,True,False,False
0.18602274184370873,1,18,0,True,False,False
1.7511044735853594,0,23,1,False,False,True
0.0459724554340665,1,2,0,True,False,False
0.03621377257689734,1,18,0,True,False,False
1.7234109141258254,1,7,1,True,False,False
0.13116311929529903,1,9,0,True,False,False
-0.6416190637183574,1,9,0,True,False,False
-0.24415054842771575,1,19,0,True,False,False
0.007992716746705975,1,20,0,True,False,False
6.560288884872393,1,5,1,False,True,False
0.13142686748062768,1,8,0,True,False,False
-0.3364624132928283,1,12,0,True,False,False
-0.04000945298315255,1,15,0,True,False,False
0.11059076083964517,1,19,0,True,False,False
0.03463128346492411,0,9,0,True,False,False
0.27675211759684787,1,12,0,True,False,False
-0.201687090589764,1,14,0,True,False,False
1.5263910196851427,1,15,1,True,False,False
0.727234018138597,0,8,0,True,False,False
-0.5007775327527287,1,10,0,True,False,False
-0.2887239917482986,1,11,0,True,False,False
-0.11755141946984721,1,11,0,True,False,False
0.006410227634732557,0,14,0,True,False,False
0.9384963145870404,1,15,1,True,False,False
-0.4427529319803722,0,15,0,True,False,False
0.04043374354215973,1,18,0,True,False,False
-0.32037377398776584,0,20,0,True,False,False
-0.05135062495229494,1,20,0,True,False,False
-0.2678878851073161,1,16,0,True,False,False
-0.6975336790080827,1,16,0,True,False,False
-0.31984627761710815,1,18,0,True,False,False
0.17415407350390846,1,20,0,True,False,False
0.5747875670184969,1,21,0,True,False,False
-0.3427923697407218,1,10,0,True,False,False
-1.2978245488166433,0,11,1,True,False,False
-1.2946595705926967,0,11,1,True,False,False
0.4531996535818772,1,12,0,True,False,False
0.18180277087844654,1,13,0,True,False,False
-0.963128101634278,1,13,1,True,False,False
-0.7228535047996565,1,13,0,True,False,False
-0.4620065495093813,1,15,0,True,False,False
5.13657618046703,0,15,1,False,False,True
-0.006777181631712091,1,9,0,True,False,False
0.2712134057049409,1,15,0,True,False,False
0.2957419869405281,0,16,0,True,False,False
-0.6693126231778913,1,20,0,True,False,False
-0.30032891190277,1,20,0,True,False,False
0.007728968561376948,1,20,0,True,False,False
0.38884509636162734,1,9,0,True,False,False
-0.7004349090467007,1,12,0,True,False,False
0.5602814168254078,1,15,0,True,False,False
0.1501529886389793,1,16,0,True,False,False
-0.3045488828680322,1,17,0,True,False,False
-0.42719178904596744,1,21,0,True,False,False
-0.14208000070543425,1,12,0,True,False,False
0.11955819914082762,1,13,0,True,False,False
-0.5516809325212051,1,17,0,True,False,False
-0.09988029105281133,1,9,0,True,False,False
-0.3449023552233529,1,10,0,True,False,False
-0.07878043622649998,1,16,0,True,False,False
-0.30191140101474323,1,17,0,True,False,False
-0.49049135352490186,0,18,0,True,False,False
-0.2715803597019206,1,8,0,True,False,False
-0.023129569122103573,1,14,0,True,False,False
-0.3079776092773079,1,17,0,True,False,False
-0.6756425796257847,1,19,0,True,False,False
0.016432658677230372,1,9,0,True,False,False
0.3434804084850578,1,16,0,True,False,False
0.029883816129004048,1,17,0,True,False,False
0.22110125049245144,1,20,0,True,False,False
-0.3480673334472995,1,21,0,False,False,True
0.34901912037696436,1,14,0,True,False,False
0.3447991494117022,0,18,0,True,False,False
-0.3087688538332946,1,19,0,False,False,True
0.10135957435313406,0,20,0,True,False,False
-0.6650926522126289,1,20,0,True,False,False
-0.16344360371707445,1,10,0,True,False,False
0.598788651883426,1,14,0,True,False,False
-0.07587920618788217,1,21,0,True,False,False
-0.3042851346827034,1,6,0,True,False,False
-0.6387178336797397,1,13,0,True,False,False
0.42260486408372566,0,16,0,True,False,False
-0.24757927483699144,1,17,0,True,False,False
-1.3405517548399237,0,19,1,True,False,False
0.12694314833003645,1,9,0,True,False,False
-0.6832912770003225,1,16,0,True,False,False
-0.16977356016496795,1,20,0,True,False,False
-0.8040879458809556,1,8,0,False,False,True
0.03937875080084418,1,10,0,True,False,False
-0.09829780194083793,1,21,0,True,False,False
-0.5419222496640359,1,17,0,True,False,False
0.6663081873276226,1,8,0,True,False,False
0.5080592761302869,1,10,0,True,False,False
0.402296253813401,0,11,0,True,False,False
0.20844133759666447,0,14,0,True,False,False
0.09186463968129394,1,16,0,True,False,False
-1.4444685398595076,0,23,1,False,True,False
0.47456325659351756,0,14,0,True,False,False
-0.12361762773241167,0,17,0,True,False,False
1.914364600303944,1,17,1,True,False,False
0.6576044972117693,0,5,0,False,False,True
-0.29030648086027205,1,13,0,True,False,False
0.5201916926554162,1,19,0,True,False,False
-0.12071639769379386,0,19,0,True,False,False
-0.18559845128470154,1,20,0,True,False,False
-0.5487797024825872,1,21,0,True,False,False
-0.14445373437339418,1,9,0,True,False,False
-0.3230112558410548,0,10,0,True,False,False
0.41653865582116106,0,13,0,True,False,False
0.2371898897975139,1,13,0,True,False,False
0.6934742504164987,0,15,0,True,False,False
0.1253606592180634,0,18,0,True,False,False
-0.0009747215544764756,0,19,0,True,False,False
-0.14366248981740748,1,19,0,True,False,False
0.8256120912662741,1,11,1,True,False,False
0.40941745481728103,1,12,0,True,False,False
0.1295806301833256,1,15,0,True,False,False
-0.4213893289687318,1,9,0,True,False,False
0.20105638840745543,0,13,0,True,False,False
-0.06612052333071301,1,18,0,True,False,False
-0.499986288196742,1,20,0,True,False,False
-0.22753441275199562,0,14,0,True,False,False
0.5581714313427767,1,14,0,True,False,False
0.2522235363612606,0,20,0,True,False,False
-0.2209407081187733,1,12,0,True,False,False
0.4698157892575973,0,15,0,True,False,False
-0.008887167114343189,1,18,0,True,False,False
0.35745906230748914,0,19,0,True,False,False
0.409153706631952,1,20,0,True,False,False
0.19947389929548204,0,9,0,True,False,False
-0.1075289884273492,1,10,0,True,False,False
-0.1252001168443851,1,17,0,True,False,False
-1.3086382244151278,0,21,1,False,True,False
-0.10805648479800709,1,9,0,True,False,False
0.367745241535316,0,10,0,True,False,False
-0.15737739545451,1,17,0,True,False,False
0.09582086246122729,1,10,0,True,False,False
-0.13997001522280314,1,11,0,True,False,False
-0.3710134255709133,0,13,0,True,False,False
-0.21329201074423523,1,14,0,True,False,False
0.3761851834658404,1,20,0,True,False,False
0.38436137721103614,1,22,0,True,False,False
-0.48099641885306177,1,8,0,True,False,False
-0.23544685831186232,1,11,0,True,False,False
-0.19351089684456826,1,20,0,True,False,False
-0.6131342597028371,1,21,0,True,False,False
-0.507371237385951,1,11,0,True,False,False
-0.11385894487524269,1,13,0,True,False,False
0.07841348222952026,1,14,0,True,False,False
-0.37945336750143793,0,10,0,True,False,False
-0.5247786176176579,1,11,0,True,False,False
1.0532267752051088,1,11,1,True,False,False
0.2063313521140334,1,16,0,True,False,False
0.2619822192184298,1,20,0,False,True,False
-0.24415054842771575,1,10,0,True,False,False
0.054676145549919924,1,12,0,True,False,False
-0.43457673823517645,0,13,0,True,False,False
0.12615190377404975,1,15,0,True,False,False
-0.03236075560861468,1,20,0,True,False,False
-0.26419541051271156,1,20,0,False,False,True
-0.23201813190258666,1,11,0,True,False,False
0.37961390987511623,1,14,0,True,False,False
-0.2694703742192895,0,15,0,True,False,False
0.040697491727488565,1,15,0,True,False,False
-1.4304898860370765,0,15,1,True,False,False
0.07788598585886257,1,18,0,True,False,False
-0.6358166036411218,0,14,0,True,False,False
-0.013107138079605575,1,8,0,True,False,False
-0.33329743506888165,1,10,0,True,False,False
-0.21197326981759085,1,13,0,True,False,False
-0.07429671707590875,1,15,0,True,False,False
-0.13284881421892294,1,18,0,True,False,False
-0.08511039267439327,0,18,0,True,False,False
-0.4886451162275996,1,18,0,True,False,False
-0.43589547916182103,0,20,0,False,False,True
-0.22436943452804878,0,21,0,True,False,False
1.0434680923479396,1,8,1,True,False,False
-0.7460633451085991,1,9,0,True,False,False
-0.4604240603974081,0,10,0,True,False,False
-0.7386783959193901,1,11,0,True,False,False
-0.47308397329319485,1,12,0,True,False,False
-0.46543527591865697,1,14,0,False,False,True
0.3447991494117022,0,21,0,False,True,False
-0.8805749196263345,1,21,0,False,True,False
-1.4307536342224052,0,5,1,False,True,False
-0.24177681475975582,1,9,0,True,False,False
-0.4841613970770084,1,15,0,True,False,False
1.5709644630057253,0,16,1,True,False,False
